No.;Frames;FIFO;RAND;OPT;LRU;SecondChance;
1;16;1745;1804;1164;1704;1723;
2;17;1723;1750;1141;1680;1697;
3;18;1702;1712;1122;1652;1676;
4;19;1683;1692;1105;1632;1645;
5;20;1662;1704;1089;1604;1634;
6;21;1652;1628;1074;1578;1609;
7;22;1631;1637;1061;1554;1591;
8;23;1609;1609;1051;1528;1580;
9;24;1583;1661;1041;1509;1566;
10;25;1568;1607;1033;1485;1525;
11;26;1557;1618;1025;1466;1500;
12;27;1548;1540;1017;1451;1491;
13;28;1531;1562;1009;1427;1473;
14;29;1517;1590;1002;1415;1461;
15;30;1498;1510;995;1401;1443;
16;31;1486;1542;989;1389;1431;
17;32;1479;1558;983;1374;1415;
18;33;1474;1488;977;1363;1412;
19;34;1467;1528;971;1353;1410;
20;35;1462;1459;965;1338;1397;
21;36;1445;1463;959;1324;1390;
22;37;1441;1451;954;1308;1366;
23;38;1433;1454;950;1288;1361;
24;39;1426;1446;946;1279;1340;
25;40;1422;1439;942;1264;1327;
26;41;1417;1443;938;1254;1329;
27;42;1408;1419;934;1244;1315;
28;43;1403;1418;930;1234;1301;
29;44;1395;1389;926;1231;1294;
30;45;1391;1408;923;1225;1288;
31;46;1379;1394;920;1213;1291;
32;47;1370;1372;917;1204;1276;
33;48;1360;1447;914;1198;1267;
34;49;1355;1402;911;1194;1265;
35;50;1353;1361;908;1188;1261;
36;51;1348;1366;905;1184;1246;
37;52;1341;1354;902;1175;1244;
38;53;1339;1353;899;1169;1238;
39;54;1337;1352;896;1165;1231;
40;55;1322;1347;893;1160;1225;
41;56;1311;1311;890;1153;1217;
42;57;1307;1323;887;1145;1212;
43;58;1302;1338;884;1142;1202;
44;59;1298;1369;881;1137;1208;
45;60;1296;1338;879;1135;1197;
46;61;1295;1293;877;1131;1187;
47;62;1294;1290;875;1126;1183;
48;63;1287;1312;873;1120;1184;
49;64;1283;1276;871;1116;1173;
50;65;1281;1259;869;1113;1171;
51;66;1277;1278;867;1113;1179;
52;67;1276;1262;865;1103;1170;
53;68;1274;1288;863;1101;1164;
54;69;1267;1256;861;1099;1157;
55;70;1263;1260;859;1096;1161;
56;71;1261;1513;857;1091;1152;
57;72;1256;1245;855;1086;1147;
58;73;1249;1231;853;1085;1134;
59;74;1244;1250;851;1084;1133;
60;75;1243;1243;849;1082;1132;
61;76;1235;1238;847;1081;1143;
62;77;1233;1215;845;1081;1144;
63;78;1227;1240;843;1080;1136;
64;79;1227;1249;841;1076;1122;
65;80;1227;1212;839;1073;1127;
66;81;1224;1218;837;1072;1126;
67;82;1221;1213;835;1070;1122;
68;83;1223;1205;833;1069;1126;
69;84;1220;1215;831;1067;1121;
70;85;1218;1208;829;1065;1114;
71;86;1215;1208;827;1061;1117;
72;87;1215;1232;825;1058;1104;
73;88;1213;1191;823;1055;1107;
74;89;1212;1191;821;1051;1098;
75;90;1212;1193;819;1048;1091;
76;91;1212;1196;817;1047;1088;
77;92;1208;1204;816;1047;1097;
78;93;1206;1197;815;1046;1090;
79;94;1198;1195;814;1046;1096;
80;95;1196;1170;813;1045;1092;
81;96;1189;1203;812;1044;1087;
82;97;1187;1186;811;1043;1081;
83;98;1183;1175;810;1042;1080;
84;99;1181;1181;809;1040;1078;
85;100;1180;1163;808;1040;1078;
86;101;1175;1168;807;1037;1076;
87;102;1172;1165;806;1036;1068;
88;103;1167;1142;805;1032;1058;
89;104;1167;1176;804;1031;1056;
90;105;1160;1167;803;1029;1061;
91;106;1158;1164;802;1024;1055;
92;107;1153;1139;801;1023;1058;
93;108;1149;1150;800;1022;1048;
94;109;1146;1167;799;1022;1047;
95;110;1143;1129;798;1019;1044;
96;111;1141;1159;797;1018;1044;
97;112;1138;1190;796;1014;1046;
98;113;1136;1127;795;1013;1046;
99;114;1135;1134;794;1011;1040;
100;115;1132;1103;793;1009;1037;
101;116;1131;1153;792;1007;1031;
102;117;1131;1130;791;1005;1037;
103;118;1130;1135;790;1004;1038;
104;119;1128;1128;789;1003;1036;
105;120;1126;1122;788;1002;1032;
106;121;1123;1133;787;1001;1031;
107;122;1121;1118;786;1000;1026;
108;123;1119;1107;785;1000;1029;
109;124;1119;1104;784;999;1028;
110;125;1118;1101;783;999;1019;
111;126;1113;1136;782;997;1017;
112;127;1110;1108;781;996;1021;
113;128;1108;1106;780;996;1018;
