No.;Processes;Average Execution Time;Average Waiting Time;Process Switches;Processes Finished In 100 Cycles;
1;1000;10,536598;4769,263672;1000;9,091743;
2;2000;10,500251;9500,791016;2000;9,137614;
3;3000;10,509632;14224,397461;3000;9,121951;
4;4000;10,500828;18946,531250;4000;9,130137;
5;5000;10,498822;23182,376953;5000;9,135283;
6;6000;10,496819;27405,931641;6000;9,135671;
7;7000;10,500314;30556,716797;7000;9,133160;
8;8000;10,502488;33807,050781;8000;9,128996;
9;9000;10,497124;37379,007813;9000;9,135025;
10;10000;10,495770;41005,390625;10000;9,136197;
11;11000;10,499718;44822,585938;11000;9,131229;
12;12000;10,498466;48784,375000;12000;9,134045;
13;13000;10,497572;52840,472656;13000;9,134926;
14;14000;10,501266;56938,148438;14000;9,131768;
15;15000;10,498908;61124,589844;15000;9,133374;
16;16000;10,499567;65382,359375;16000;9,133638;
17;17000;10,499804;69692,875000;17000;9,131650;
18;18000;10,499310;73870,164063;18000;9,131980;
19;19000;10,499223;77823,531250;19000;9,133654;
20;20000;10,499153;81582,625000;20000;9,133851;
21;21000;10,500137;85418,796875;21000;9,131797;
22;22000;10,498895;89333,554688;22000;9,133306;
23;23000;10,498731;93296,960938;23000;9,133042;
24;24000;10,498003;97283,562500;24000;9,134374;
25;25000;10,499808;101333,289063;25000;9,132627;
26;26000;10,499918;105438,539063;26000;9,132818;
27;27000;10,499088;109575,937500;27000;9,133288;
28;28000;10,500750;113662,812500;28000;9,131768;
29;29000;10,500525;117785,468750;29000;9,131654;
30;30000;10,500654;121950,687500;30000;9,132115;
31;31000;10,500413;126153,585938;31000;9,131998;
32;32000;10,501223;130346,773438;32000;9,131279;
33;33000;10,499693;134559,328125;33000;9,132577;
34;34000;10,499989;138785,656250;34000;9,132725;
35;35000;10,499905;142881,468750;35000;9,132307;
36;36000;10,500736;146883,468750;36000;9,131913;
37;37000;10,499286;150822,656250;37000;9,133054;
38;38000;10,499853;154802,187500;38000;9,131971;
39;39000;10,500201;158822,453125;39000;9,132318;
40;40000;10,499908;162880,328125;40000;9,132679;
41;41000;10,500029;166973,328125;41000;9,132101;
42;42000;10,499724;171083,609375;42000;9,132667;
43;43000;10,499644;175218,500000;43000;9,132541;
44;44000;10,499736;179373,640625;44000;9,132447;
45;45000;10,501573;183533,890625;45000;9,131087;
46;46000;10,501151;187692,859375;46000;9,131824;
47;47000;10,499834;191867,984375;47000;9,132141;
48;48000;10,500157;195851,406250;48000;9,132230;
49;49000;10,500169;199854,562500;49000;9,132339;
50;50000;10,500251;203853,718750;50000;9,132054;
