No.;Processes;Average Execution Time;Average Waiting Time;Starving Processes;Process Switches;Processes Finished in 100 Cycles;
1;1000;10,536598;1486,450195;424;1000;9,128440;
2;2000;10,500251;2916,585449;1063;2000;9,151376;
3;3000;10,509632;4372,773926;1738;3000;9,131098;
4;4000;10,500828;5797,202148;2423;4000;9,130137;
5;5000;10,498822;6908,275391;3051;5000;9,135283;
6;6000;10,496819;8012,995117;3674;6000;9,140244;
7;7000;10,500314;8543,671875;4178;7000;9,134465;
8;8000;10,502488;9123,011719;4722;8000;9,131279;
9;9000;10,497124;9874,420898;5364;9000;9,135025;
10;10000;10,495770;10654,450195;5955;10000;9,138025;
11;11000;10,499718;11574,666016;6587;11000;9,133721;
12;12000;10,498466;12551,152344;7253;12000;9,136329;
13;13000;10,497572;13585,807617;7926;13000;9,134926;
14;14000;10,501266;14665,702148;8589;14000;9,131768;
15;15000;10,498908;15770,708008;9262;15000;9,133983;
16;16000;10,499567;16932,759766;9946;16000;9,134780;
17;17000;10,499804;18127,273438;10643;17000;9,133262;
18;18000;10,499310;19221,800781;11289;18000;9,134518;
19;19000;10,499223;20178,029297;11882;19000;9,133654;
20;20000;10,499153;21026,882813;12453;20000;9,134308;
21;21000;10,500137;21926,777344;13078;21000;9,133101;
22;22000;10,498895;22864,158203;13732;22000;9,134551;
23;23000;10,498731;23836,841797;14394;23000;9,133837;
24;24000;10,498003;24813,080078;15042;24000;9,134754;
25;25000;10,499808;25851,697266;15709;25000;9,133358;
26;26000;10,499918;26914,691406;16400;26000;9,133872;
27;27000;10,499088;27979,382813;17091;27000;9,133288;
28;28000;10,500750;29040,609375;17734;28000;9,132094;
29;29000;10,500525;30101,203125;18383;29000;9,132599;
30;30000;10,500654;31193,792969;19060;30000;9,132115;
31;31000;10,500413;32304,992188;19755;31000;9,132586;
32;32000;10,501223;33420,148438;20418;32000;9,131849;
33;33000;10,499693;34520,203125;21077;33000;9,133130;
34;34000;10,499989;35651,785156;21739;34000;9,133531;
35;35000;10,499905;36690,980469;22357;35000;9,132829;
36;36000;10,500736;37689,277344;22953;36000;9,131913;
37;37000;10,499286;38617,445313;23519;37000;9,133054;
38;38000;10,499853;39602,292969;24154;38000;9,133413;
39;39000;10,500201;40603,910156;24838;39000;9,132787;
40;40000;10,499908;41627,867188;25532;40000;9,133364;
41;41000;10,500029;42676,246094;26243;41000;9,132769;
42;42000;10,499724;43726,691406;26942;42000;9,133319;
43;43000;10,499644;44795,878906;27643;43000;9,132965;
44;44000;10,499736;45880,222656;28340;44000;9,133278;
45;45000;10,501573;46998,375000;29034;45000;9,131290;
46;46000;10,501151;48075,781250;29704;46000;9,131824;
47;47000;10,499834;49139,097656;30375;47000;9,132725;
48;48000;10,500157;50120,960938;30955;48000;9,132230;
49;49000;10,500169;51105,054688;31599;49000;9,132712;
50;50000;10,500251;52092,621094;32193;50000;9,132237;
