No.;Processes;Average Execution Time;Average Waiting Time;Average Processor Access Time;Process Switches;Processes Finished in 100 Cycles;
1;100;10,465001;476,636047;8,550000;271;7,100000;
2;200;10,418999;942,265930;8,575000;543;8,285714;
3;500;10,514000;2375,547852;8,750000;1375;8,740741;
4;1000;10,536598;4763,745605;8,765000;2753;8,963303;
5;2000;10,500251;9486,817383;8,750000;5500;9,004587;
6;5000;10,498822;23135,207031;8,734000;13734;9,106033;
7;10000;10,495770;40825,066406;8,729000;27458;9,114260;
8;20000;10,499153;81212,304688;8,734250;54937;9,119232;
9;50000;10,500251;202926,468750;8,733200;137332;9,131324;
10;100000;10,499937;406423,218750;8,732750;274655;9,129145;
